id_,url,title,author,author_url,book_type,published_date,isbn_10,pages,original_price,disc_price,prod_det_dict
9780785170655,https://www.booktopia.com.au/ebook/9780785170655.html,Infinity Gauntlet,Jim Starlin,https://www.booktopia.com.au/search?author=Jim+Starlin,eBook , 28 May 2014,785170650,,$16.12,$22.99,"{'ISBN': ' 9780785170655', 'ISBN-10': ' 0785170650', 'Published': ' 28th May 2014', 'Format': ' ePUB', 'Language': ' English', 'Publisher': ' Marvel Entertainment'}"
9780991190928,https://www.booktopia.com.au/ebook/9780991190928.html,Escaping Destiny,Amelia Hutchins,https://www.booktopia.com.au/search?author=Amelia+Hutchins,eBook , 30 July 2015,991190920,,,$6.99,"{'ISBN': ' 9780991190928', 'ISBN-10': ' 0991190920', 'Series': ' The Fae Chronicles   Book 3', 'Published': ' 30th July 2015', 'Format': ' ePUB', 'Language': ' English', 'Publisher': ' Amelia Hutchins', 'Volume Number': ' 3'}"
9780674729018,https://www.booktopia.com.au/ebook/9780674729018.html,Make It Stick,Peter C. Brown,https://www.booktopia.com.au/search?author=Peter+C.+Brown,Hardcover , 14 April 2014 ,674729013,336,$59.95,$17.95,"{'ISBN': ' 9780674729018', 'ISBN-10': ' 0674729013', 'Published': ' 14th April 2014', 'Format': ' Hardcover', 'Language': ' English', 'Number of Pages': ' 336', 'Audience': ' General Adult', 'Publisher': ' Harvard University Press', 'Country of Publication': ' US', 'Edition Number': ' 1', 'Dimensions (cm)': ' 3 x 15 x 22', 'Weight (kg)': ' 0.495'}"
9780748128181,https://www.booktopia.com.au/ebook/9780748128181.html,The Bone Bed,Patricia Cornwell,https://www.booktopia.com.au/search?author=Patricia+Cornwell,eBook , 16 October 2012,748128182,512,,$11.99,"{'ISBN': ' 9780748128181', 'ISBN-10': ' 0748128182', 'Series': ' Kay Scarpetta   Book 20', 'Published': ' 16th October 2012', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 512', 'Audience': ' General Adult', 'Publisher': ' Little, Brown Book Group', 'Volume Number': ' 20', 'Edition Type': ' Digital original'}"
9780463255414,https://www.booktopia.com.au/ebook/9780463255414.html,Escaped Killer,RJ Parker,https://www.booktopia.com.au/search?author=RJ+Parker,eBook , 19 February 2019,463255410,,,$0.00,"{'ISBN': ' 9780463255414', 'ISBN-10': ' 0463255410', 'Published': ' 19th February 2019', 'Format': ' ePUB', 'Language': ' English', 'Publisher': ' RJ Parker'}"
9780374706449,https://www.booktopia.com.au/ebook/9780374706449.html,Tuck Everlasting,Natalie Babbitt,https://www.booktopia.com.au/search?author=Natalie+Babbitt,eBook , 17 September 2010,374706441,,$11.21,$11.99,"{'ISBN': ' 9780374706449', 'ISBN-10': ' 0374706441', 'Published': ' 17th September 2010', 'Format': ' ePUB', 'Language': ' English', 'For Ages': ' 9 - 12 years old', 'Publisher': ' Farrar, Straus and Giroux (BYR)'}"
9780141929125,https://www.booktopia.com.au/ebook/9780141929125.html,Enemy of God,Bernard Cornwell,https://www.booktopia.com.au/search?author=Bernard+Cornwell,eBook , 1 November 2007, 014192912X,496,,$15.99,"{'ISBN': ' 9780141929125', 'ISBN-10': ' 014192912X', 'Series': ' Warlord Chronicles   Book 2', 'Published': ' 1st November 2007', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 496', 'Audience': ' General Adult', 'Publisher': ' Penguin Books Ltd', 'Volume Number': ' 2'}"
9780241339732,https://www.booktopia.com.au/ebook/9780241339732.html,The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,https://www.booktopia.com.au/search?author=Audre+Lorde,eBook , 31 May 2018, 0241339731,64,,$1.99,"{'ISBN': ' 9780241339732', 'ISBN-10': ' 0241339731', 'Series': ' Penguin Modern', 'Published': ' 31st May 2018', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 64', 'Audience': ' General Adult', 'Publisher': ' Penguin Books Ltd'}"
9780141971568,https://www.booktopia.com.au/ebook/9780141971568.html,The Diary of a Killer Cat,Anne Fine,https://www.booktopia.com.au/search?author=Anne+Fine,eBook , 3 March 2011, 0141971568,64,,$9.99,"{'ISBN': ' 9780141971568', 'ISBN-10': ' 0141971568', 'Series': ' The Killer Cat   Book 1', 'Published': ' 3rd March 2011', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 64', 'Audience': ' Children', 'For Ages': ' 6 - 8 years old', 'Publisher': "" Penguin Random House Children's UK"", 'Volume Number': ' 1'}"
9781409015369,https://www.booktopia.com.au/ebook/9781409015369.html,The Bloody Chamber and Other Stories,Angela Carter,https://www.booktopia.com.au/search?author=Angela+Carter,eBook , 31 October 2012, 140901536X,176,,$15.99,"{'ISBN': ' 9781409015369', 'ISBN-10': ' 140901536X', 'Series': ' Vintage Magic   Book 8', 'Published': ' 31st October 2012', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 176', 'Audience': ' General Adult', 'Publisher': ' Random House', 'Volume Number': ' 8'}"
9780755364435,https://www.booktopia.com.au/ebook/9780755364435.html,Mary Berry's Christmas Collection,Mary Berry,https://www.booktopia.com.au/search?author=Mary+Berry,eBook , 26 September 2013, 0755364430,288,,$22.99,"{'ISBN': ' 9780755364435', 'ISBN-10': ' 0755364430', 'Published': ' 26th September 2013', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 288', 'Audience': ' General Adult', 'Publisher': ' Headline', 'Edition Type': ' Digital original'}"
